motion_id,motion_topic,motion_text,num_tokens,speaker,party,date,motion_priority
507,Shift Powers from MPs in the Commons to Ministers,"Trade Bill
[Relevant document: Oral evidence taken before the International Trade Committee on 29 November 2017, on the Trade Bill, HC 603-i.]
an amendment, to leave out from “That” to the end of the Question and add: “this House recognises that on leaving the European Union, whether or not the UK concludes a new long-term customs union with the EU, it will need effective legislation to implement agreements with partner countries corresponding to international trade agreements of the European Union in place before the UK’s exit, to implement procurement obligations arising from the UK becoming a member of the Government Procurement Agreement in its own right, to establish a Trade Remedies Authority to deliver the new UK trade remedies framework, and to establish powers for Her Majesty’s Revenue and Customs to collect and disclose data on exporters, but declines to give a Second Reading to the Trade Bill because it fails to set out proper procedures for Parliamentary consultation, scrutiny, debate and approval of future international trade agreements, fails to protect the principle of Parliamentary sovereignty in the implementation of those trade agreements previously negotiated by the European Union and in respect of changes to existing government procurement regulations arising from the UK’s or other countries’ accession to the Government Procurement Agreement, fails to establish sufficient scrutiny procedures to replace those that have pertained while the UK has been a member of the European Union, fails to guarantee that European Union standards and rights will be protected in future trade agreements, and fails to render the Trade Remedies Authority answerable to Parliament or representative of the full range of stakeholders.”",270,Barry Gardiner,Lab,2018-01-09,not_important
429,Terrorism laws - For,"Anti-terrorism, Crime and Security Bill — Searches, examinations and fingerprinting: England and Wales
amendment No. 143, in page 47, line 17, after ""station"", insert— 'in connection with a terrorist investigation'.
That the amendment be made",35,James Paice,Con,2001-11-26,important
588,Higher taxes on alcoholic drinks,"Charge for financial year 2016
amendment 2, page 3, line 39, at end insert— “(3) The Chancellor of the Exchequer shall undertake a review, within six months of the passing of this Act, of the impact of a cut of one per cent to the main rate of Corporation Tax for financial year 2016, with particular reference to— (a) the impact on businesses with fewer than 50 employees; (b) the impact on investment by businesses with fewer than 50 employees; and (c) alternative tax measures, including non-domestic rates, which would have a greater benefit for businesses with fewer than 50 employees. (4) The Chancellor of the Exchequer must publish the report of the review and lay the report before the House.”.",121,Shabana Mahmood,Lab,2015-03-25,important
73,European Union - For,"European Union (Transparency)
That leave be given to bring in a Bill to require a Minister to certify on a Government Bill or a statutory instrument whether or not the Bill or statutory instrument is a result of a decision of the European Union; and for connected purposes.",48,Mark Harper,Con,2008-10-08,not_important
516,Increase VAT,"Value Added Tax
That an humble Address be presented to Her Majesty, praying that the Value Added Tax (Change of Rate) Order 2008 (S.I., 2008, No. 3020), dated 24 November 2008, a copy of which was laid before this House on 24 November, in the previous Session of Parliament, be annulled.",51,Vincent Cable,LD,2008-12-17,important
335,Reduce Spending on Welfare Benefits,"Welfare Reform and Work Bill – Employment and support allowance: work-related activity component
That this House disagrees with Lords amendment 8.",21,Priti Patel,Con,2016-02-23,important
176,Further devolution to Scotland,"Scotland Bill – Application of the Human Rights Act 1998 to Scotland
‘The application of the Human Rights Act 1998 to Scotland shall not be repealed in so far as it affects Scotland without the express consent of the Scottish Parliament.’",41,Graham Allen,Lab,2015-06-15,not_important
29,Asylum System - More strict,"Immigration Bill – Asylum seekers: permission to work after six months
Motion made, and Question put, That this House disagrees with Lords amendment 59.",24,James Brokenshire,Con,2016-04-25,important
63,European Union - For,"European Union (Amendment) Bill
That it be an Instruction to the Committee on the European Union (Amendment) Bill that it have power to make provision in the Bill for the holding of a referendum on the United Kingdom's continued membership of the European Union.",44,Edward Davey,LD,2008-03-04,important
72,European Union - For,"European Union (Amendment) Bill
Order for Third Reading read.— [Queen's Consent, on behalf of the Crown, signified.]
That the Bill be now read the Third time.",26,David Miliband,Lab,2008-03-11,important
580,Higher taxes on alcoholic drinks,"Budget Resolutions and Economic Situation — Amendment of the Law
(1) That it is expedient to amend the law with respect to the National Debt and the public revenue and to make further provision in connection with finance. (2) This Resolution does not extend to the making of any amendment with respect to value added tax so as to provide— (a) for zero-rating or exempting a supply, acquisition or importation; (b) for refunding an amount of tax; (c) for any relief, other than a relief that— (i) so far as it is applicable to goods, applies to goods of every description, and (ii) so far as it is applicable to services, applies to services of every description.",117,,,2013-03-25,not_important
257,More powers for local councils,"Growth and Infrastructure Bill (Programme) (No. 2) – Purpose of planning
42, page 1, line 2, leave out clause 1.
That the amendment be made",25,Roberta Blackman-Woods,Lab,2012-12-17,important
70,European Union - For,"Commencement
That the clause stand part of the Bill",9,,,2008-03-05,not_important
425,Terrorism laws - For,"Anti-terrorism, Crime and Security Bill – Certification: review
No. 71, in page 13, line 34, leave out— 'does not agree with the belief or suspicion' and insert— 'considers that there are no reasonable grounds for a belief or suspicion of the kind'.",42,Anne McGuire,Lab,2001-11-21,important
310,Reduce Spending on Welfare Benefits,"Up-rating of certain social security benefits for tax years 2014-15 and 2015-16
amendment 12, page 1, line 4, leave out ‘by 1%’.",22,Stephen Timms,Lab,2013-01-21,important
485,Shift Powers from MPs in the Commons to Ministers,"Legislative and Regulatory Reform Bill (Programme)
That the following provisions shall apply to the Legislative and Regulatory Reform Bill: Committal 1. The Bill shall be committed to a Standing Committee. Proceedings in Standing Committee 2. Proceedings in the Standing Committee shall (so far as not previously concluded) be brought to a conclusion on Thursday 9th March 2006. 3. The Standing Committee shall have leave to sit twice on the first day on which it meets. Consideration and Third Reading 4. Proceedings on consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced. 5. Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day. 6. Standing Order No. 83B (Programming committees) shall not apply to proceedings on consideration and Third Reading. Other proceedings 7. Any other proceedings on the Bill (including any proceedings on consideration of Lords Amendments or on any further messages from the Lords) may be programmed.",181,Ian Cawsey,Lab,2006-02-09,not_important
322,Reduce Spending on Welfare Benefits,"Welfare Reform and Work Bill
That this House, whilst affirming its belief that there should be controls on and reforms to the overall costs of social security, that reporting obligations on full employment, apprenticeships and troubled families are welcome, and that a benefits cap and loans for mortgage interest support are necessary changes to the welfare system, declines to give a Second Reading to the Welfare Reform and Work Bill because the Bill will prevent the Government from continuing to pursue an ambition to reduce child poverty in both absolute and relative terms, it effectively repeals the Child Poverty Act 2010 which provides important measures and accountability of government policy in relation to child poverty, and it includes a proposal for the work-related activity component of employment and support allowance which is an unfair approach to people who are sick and disabled.",142,Stephen Timms,Lab,2015-07-20,important
264,More powers for local councils,"Fixed Odds Betting Terminals
That this House understands the public concerns around fixed odds betting terminals regulated by the Gambling Act 2005; notes that the Government has made clear that it considers the future of B2 regulation to be unresolved; welcomes the Government-backed research into the effect of fixed odds betting terminals on problem gambling; believes that any development in the Government’s policy on this matter should be evidence-led; calls upon the betting industry to provide the data required for a proper understanding of the impact of fixed odds betting terminals; and further notes that local authorities already have planning powers to tackle localised problems and target specific areas where the cumulative impact of betting shops or other specific types of premises might be problematic, as well as licensing powers to tackle individual premises causing problems.",136,Helen Grant,Lab,2014-01-08,important
140,European Union - For,"European Union (Withdrawal) Bill – Provisions relating to the EU or the EEA in respect of EU-derived domestic legislation
“(1) Notwithstanding the provisions of section 5(1), HM Government shall make arrangements to report to both Houses of Parliament whenever circumstances arising in section 2(2)(d) would otherwise have amended provisions or definitions in UK law had the UK remained a member of the EU or EEA beyond exit day. (2) Notwithstanding the provisions of section 5(1) and having reported to both Houses of Parliament, HM Government is bound to consider whether it should incorporate amended provisions or definitions into UK law, in order to ensure that the rights of workers and employees in the UK are no less favourable than they would have been had the UK remained a member of the EU or EEA beyond exit day. (3) Such circumstances arising in section 2(2)(d) include but are not limited to— (a) any future EU Directives relating to family-friendly employment rights; including but not limited to rights for pregnant workers and employees, and those returning from maternity leave, (b) any future EU Directives relating to gender equality, (c) the proposed Directive of the European Parliament and of the Council on work-life balance for parents and carers. (4) Reports presented under subsection (1) must include— (i) an assessment of how such amendments to UK law would have impacted sex equality in the UK had the UK remained a member of the EU or EEA beyond exit day and (ii) an assessment of how a failure to implement amended provisions or definitions in UK law will impact the ability of families to combine work and care in the UK and gender equality in the UK.”
That the clause be read a Second time.",290,Ellie Reeves,Lab,2017-11-21,not_important
364,Schools - Greater Autonomy,"Repeals
Amendments made: No. 78, in page 239, line 9, at end insert— 'Education Act 1996 (c. 56)        In section 444 In subsection (1A), the words ""without reasonable justification"", an In subsection (3),paragraph (b) andthe word ""or"" immediately following it.' No. 79, in page 239, line 27, column 2, at beginning insert— 'Section 159(3). No. 80, in page 241, line 33, column 2, leave out 'In section 15(7), the words ""65 or"" ' and insert 'Section 15(7)'. No. 81, in page 241, line 39, column 2, at beginning insert— 'In Schedule 7, paragraph 13.' No. 82, in page 241, line 39, column 2, leave out 'paragraph 79' and insert 'paragraphs 78 and 79'. No. 83, in page 241, line 47, column 2, at end insert— 'In Schedule 5, paragraph 3(14).' No. 118, in page 243, line 4, column 2, leave out 'paragraph 13A(4)' and insert 'paragraphs 13A(4) and 14(1)'. No. 38, in page 244, line 37, column 2, at end insert— 'In Schedule 22—paragraph 1(1)(c);in paragraph 2(1)(a), the words from ""or acquired"" to the end; in paragraph 3(1)(a), the words from ""or acquired"" to the end; paragraph 3(1)(d);in paragraph 3(1)(f), the words ""(d) or""; and in paragraph 3(8), the words ""(d),"".' No. 39, in page 244, line 37, at end insert— 'Education Act 2002 (c.32)        In Schedule 21, paragraph 118(3)(b) and (4)(a)(ii).' No. 40, in page 244, line 39, at end add— 'Education Act 2005 (c.18)        In Schedule 12, paragraph 15.'.
That the Bill be now read the Third time.",250,Alan Johnson,Lab,2006-05-24,important
554,Identity cards - For introduction,"Identity Cards Bill – Applications Relating to Entries in Register
No. 44, in page 4, line 43, at end insert '(d) state that the individual does not consent to be included in the Register on the basis of the application.'.",40,,,2005-02-10,important
332,Reduce Spending on Welfare Benefits,"The Economy
That this House believes that the Government has failed to deliver on its commitment to stand up for working people; notes that the Government’s existing plans to cut tax credits will cost more than three million working families an average of £1,300 a year from next April; further notes that 4.1 million children now live in absolute poverty, an increase of 500,000 since 2009-10; notes that in 2014 the UK’s current account deficit reached the highest level ever recorded, at 5.1 per cent; notes that 85 per cent of the money saved from tax and benefit changes in the last Parliament came from women; further believes that the Government has failed to deliver the more sustainable economy the country needs; notes that, rather than investing in building new homes to cut housing benefit costs, housing investment has been slashed and housing benefit has risen by over £2 billion a year in real terms; notes that the gap between UK productivity per hour worked and the rest of the G7 grew to 20 percentage points in 2014, the widest productivity gap since 1991; believes that further deep cuts to the budget of the Department for Business, Innovation and Skills could damage the Government’s ability to boost innovation and productivity and could restrict opportunities for British businesses and workers to succeed in the global economy; calls on the Government to reverse fully and fairly its plans to cut tax credits from next April; and further calls for the Government to invest in growing a more productive economy with a focus on science, technology and green jobs to equip Britain for the future and share more fairly the proceeds of growth.",280,John Martin McDonnell,Lab,2015-11-18,not_important
