motion_id,motion_topic,policy_id,motion_text_length,speaker,num_tokens,has_entity,motion_text,has_entity_date,has_entity_person,has_entity_event_or_org,aux_numeric_feature,date,date_continuous,motion_priority,party,motion_importance
10,Asylum System - More strict,1087,1221,Jim Murphy,192,True,"asylum and immigration (treatment of claimants, etc.) bill (programme) that the following provisions shall apply to the asylum and immigration (treatment of claimants, etc.) bill: committal 1. the bill shall be committed to a standing committee. proceedings in standing committee 2. proceedings in the standing committee shall (so far as not previously concluded) be brought to a conclusion on 27th january 2004. 3. the standing committee shall have leave to sit twice on the first day on which it meets. consideration and third reading 4. proceedings on consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced. 5. proceedings on third reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day. programming committee 6. sessional order b (programming committees) made on 28th june 2001 shall not apply to proceedings on consideration and third reading. programming of proceedings 7. all proceedings on the bill (including any proceedings on consideration of lords amendments or on any further messages from the lords) may be programmed.",1,1,1,,2003-12-17,0.2727272727272727,not_important,Lab,not_important
11,Asylum System - More strict,1087,520,David Heath ,89,True,"asylum and immigration (treatment of claimants, etc.) bill – entering united kingdom without passport no. 99, in page 2, line 30, at end insert— '(4a) where a person is charged with an offence under subsections (1) and (2) above, and relies on a defence under subsections (3) and (4) above, if the person adduces evidence which is sufficient to raise an issue with respect to the matter, the court or jury shall assume that the defence is satisfied unless the prosecution proves beyond reasonable doubt that it is not.'.",0,1,1,-1.1978778925888485,2004-03-01,0.3181818181818182,important,LD,important
12,Asylum System - More strict,1087,162,Hilton Dawson,27,True,"asylum and immigration (treatment of claimants, etc.) bill – failed asylum seekers: withdrawal of support amendment no. 23, in page 8, line 5, leave out clause 7.",0,0,1,1.9647251329163893,2004-03-01,0.3181818181818182,not_important,Lab,not_important
13,Asylum System - More strict,1087,148,Mark Oaten,25,True,"asylum and immigration (treatment of claimants, etc.) bill – unification of appeal system amendment no. 30, in page 11, line 6, leave out clause 11.",0,0,1,0.0352635519717286,2004-03-01,0.3181818181818182,not_important,LD,not_important
14,Asylum System - More strict,1087,145,Neil Gerrard,24,True,"asylum and immigration (treatment of claimants, etc.) bill – repeals no. 33, in page 41, line 24, second column, at beginning insert 'section 55.",0,1,1,-0.6997255079925856,2004-03-01,0.3181818181818182,not_important,Lab,not_important
15,Asylum System - More strict,1087,1696,David Blunkett,293,True,"asylum and immigration (treatment of claimants, etc.) bill – appeal from within united kingdom for section 92(3) of the nationality, immigration and asylum act 2002 (c. 41) (appeal from within united kingdom: person with entry clearance or work permit) substitute— ""(3) this section also applies to an appeal against refusal of leave to enter the united kingdom if— (a) at the time of the refusal the appellant is in the united kingdom, and (b) on his arrival in the united kingdom the appellant had entry clearance. (3a) but this section does not apply by virtue of subsection (3) if subsection (3b) or (3c) applies to the refusal of leave to enter. (3b) this subsection applies to a refusal of leave to enter which is a deemed refusal under paragraph 2a(9) of schedule 2 to the immigration act 1971 resulting from cancellation of leave to enter by an immigration officer— (a) under paragraph 2a(8) of that schedule, and (b) on the grounds specified in paragraph 2a(2a) of that schedule. (3c) this subsection applies to a refusal of leave to enter which specifies that the grounds for refusal are that the leave is sought for a purpose other than that specified in the entry clearance. (3d) this section also applies to an appeal against refusal of leave to enter the united kingdom if at the time of the refusal the appellant— (a) is in the united kingdom, (b) has a work permit, and (c) is any of the following (within the meaning of the british nationality act 1981 (c. 61))— (i) a british overseas territories citizen, (ii) a british overseas citizen, (iii) a british national (overseas), (iv) a british protected person, or (v) a british subject.""' that the bill be now read the third time.",1,1,1,0.213979910734222,2004-03-01,0.3181818181818182,important,Lab,important
16,Asylum System - More strict,1087,1148,Parmjit Dhanda,181,True,"immigration, asylum and nationality bill (programme) that the following provisions shall apply to the immigration, asylum and nationality bill: committal 1. the bill shall be committed to a standing committee. proceedings in standing committee 2. proceedings in the standing committee shall (so far as not previously concluded) be brought to a conclusion on tuesday 25th october 2005. 3. the standing committee shall have leave to sit twice on the first day on which it meets. consideration and third reading 4. proceedings on consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced. 5. proceedings on third reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day. 6. standing order no. 83b (programming committees) shall not apply to proceedings on consideration and third reading. other proceedings 7. any other proceedings on the bill (including any proceedings on consideration of lords amendments or on any further message from the lords) may be programmed",1,1,1,-0.1123280496908298,2005-07-05,0.3636363636363636,not_important,Lab,not_important
17,Asylum System - More strict,1087,152,Humfrey Malins,27,True,"immigration, asylum and nationality bill – penalty amendment no. 8, in page 6, line 28, after 'employ', insert 'for more than 15 hours in any one week'.",0,1,1,-0.2209695995332229,2005-11-16,0.3636363636363636,not_important,Con,not_important
18,Asylum System - More strict,1087,134,Alistair Carmichael,21,True,"immigration, asylum and nationality bill – refugee convention: construction amendment no. 34, in page 28, line 1, leave out clause 51.",0,1,1,0.6141667000434252,2005-11-16,0.3636363636363636,not_important,LD,not_important
19,Asylum System - More strict,1087,296,Tony McNulty,48,True,"immigration, asylum and nationality bill – immigration and asylum appeals: consequential amendments amendment made: no. 29, in page 32, line 34, at end insert—'13a in section 104(5) (pending appeal) for ""(d), (e) or (f)"" substitute ""(f), (fa) or (fb)"".'. that the bill be now read the third time.",0,1,1,0.7575077100473051,2005-11-16,0.3636363636363636,not_important,Lab,not_important
20,Asylum System - More strict,1087,749,Tom Watson,118,True,"immigration, asylum and nationality bill (programme) (no. 3) that the following provisions shall apply to the immigration, asylum and nationality bill for the purpose of supplementing the order of 5th july 2005 (as varied by the order of 11th october 2005): consideration of lords amendments 1. proceedings on consideration of lords amendments shall (so far as not previously concluded) be brought to a conclusion two hours after their commencement at this day's sitting. subsequent stages 2. any further message from the lords may be considered forthwith without any question being put. 3. the proceedings on any further message from the lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement.",1,1,1,-0.5305011476105275,2006-03-29,0.4090909090909091,not_important,Lab,not_important
21,Asylum System - More strict,1087,119,Neil Gerrard,17,True,"immigration, asylum and nationality bill – accommodation lords amendment: no. 18. amendment (a) to the lords amendment.",0,1,1,,2006-03-29,0.4090909090909091,not_important,Lab,not_important
22,Asylum System - More strict,1087,124,,20,True,"immigration that the draft asylum (designated states) order 2007, which was laid before this house on 22nd may, be approved.",1,1,0,-0.275051697151644,2007-07-25,0.4545454545454545,important,,important
23,Asylum System - More strict,1087,1243,Angus Robertson,188,True,"humanitarian crisis in the mediterranean and europe [relevant document: e-petition, entitled accept more asylum seekers and increase support for refugee migrants in the uk, https://petition.parliament.uk/petitions/105991] that this house recognises the funding the government has committed to the humanitarian initiatives to provide sanctuary in camps for refugees across the middle east; calls for a greater international effort through the united nations to secure the position of such displaced people; recognises that the government has committed to accepting 20,000 vulnerable people from camps in syria over the next five years but calls for a government report to be laid before the house by 12 october 2015 detailing how that number can be increased, encompassing refugees already in europe and including a plan for the remainder of this year to reflect the overwhelming urgency of this humanitarian crisis; further notes that refugees arriving in european union territory also have a moral and legal right to be treated properly; and, given the pressure on southern european countries, further calls for the uk to play its full and proper role, in conjunction with european partners, in providing sanctuary to our fellow human beings.",1,1,0,-2.301921164735585,2015-09-09,0.8181818181818182,important,SNP,important
24,Asylum System - More strict,1087,72,Theresa May,15,True,"immigration bill i beg to move, that the bill be now read a second time.",0,1,1,-1.5151910621985525,2015-10-13,0.8181818181818182,important,Con,important
25,Asylum System - More strict,1087,166,Keir Starmer,28,True,"consumer protection (standards of fire resistance of children’s fancy dress and play costumes etc) – offence of illegal working 19, page 5, line 2, leave out clause 8",0,1,0,1.366874267444525,2015-12-01,0.8181818181818182,not_important,Lab,not_important
26,Asylum System - More strict,1087,1642,Keir Starmer,258,True,"consumer protection (standards of fire resistance of children’s fancy dress and play costumes etc) – extension to wales, scotland and northern ireland ‘(1) the secretary of state may by regulations make such provision as the secretary of state considers appropriate for enabling any of the provisions of sections (transfer of responsibility for relevant children) to (scheme for transfer of responsibility for relevant children) to apply in relation to wales, scotland or northern ireland. (2) the secretary of state may by regulations make provision which— (a) has a similar effect to any of the provisions mentioned in subsection (1), and (b) applies in relation to wales, scotland or northern ireland. (3) regulations under subsection (1) or (2) may— (a) amend, repeal or revoke any enactment (including an enactment contained in this act); (b) confer functions on any person (including a power to make regulations). (4) regulations under subsection (1) or (2) may not confer functions on— (a) the welsh ministers, (b) the scottish ministers, (c) the first minister and deputy first minister in northern ireland, (d) a northern ireland minister, or (e) a northern ireland department. (5) in this section “enactment” includes— (a) an enactment contained in subordinate legislation within the meaning of the interpretation act 1978; (b) an enactment contained in, or in an instrument made under, an act or measure of the national assembly for wales; (c) an enactment contained in, or in an instrument made under, an act of the scottish parliament; (d) an enactment contained in, or in an instrument made under, northern ireland legislation.”",1,1,1,1.6449677135012837,2015-12-01,0.8181818181818182,important,Lab,important
27,Asylum System - More strict,1087,233,Stuart McDonald,36,True,"consumer protection (standards of fire resistance of children’s fancy dress and play costumes etc) – appeals within the united kingdom: certification of human rights claims amendment proposed: 27, page 39, line 6, leave out clause 34",0,1,0,-0.2490360395563783,2015-12-01,0.8181818181818182,not_important,SNP,not_important
28,Asylum System - More strict,1087,1075,James Brokenshire,156,True,"european union (approvals) bill [lords] – relocation of migrants in need of international protection (opt-in decision) [relevant documents:2nd report from the european scrutiny committee, session 2015-16, hc 342-ii, chapter 3; 3rd report from the european scrutiny committee, session 2015-16, hc 342-iii, chapter 8; 5th report from the european scrutiny committee, session 2015-16, hc 342-v, chapters 1, 2, and 3; and 9th report from the european scrutiny committee, session 2015-16, hc 342-ix, chapter 3.] that this house takes note of european union documents no. 9355/15 and addendum and no. 11132/15, international protection for the benefit of italy and greece, no. 11843/15 and addendum, establishing a crisis relocation mechanism, and no. 11844/15 and addendum, international protection for the benefit of italy, greece and hungary; and agrees with the government’s decision not to opt in to proposals establishing provisional measures for the relocation of individuals in need of international protection or to the proposal establishing a crisis relocation mechanism.",1,1,1,0.5765569630557664,2015-12-14,0.8181818181818182,important,Con,important
29,Asylum System - More strict,1087,152,James Brokenshire,24,True,"immigration bill – asylum seekers: permission to work after six months motion made, and question put, that this house disagrees with lords amendment 59.",0,1,1,,2016-04-25,0.8636363636363636,important,Con,important
30,European Union - For,1065,1036,Geoff Hoon,138,True,"a citizens' agenda [relevant documents: twenty-second report of the european scrutiny committee, session 2005-06, hc34-xxii, paragraph 1. thirty-first report of the european scrutiny committee, session 2005-06, hc34- xxxi, paragraphs 1 and 30. thirty-second report of the european scrutiny committee, session 2005-06, hc34-xxxii, paragraphs 4 and 5. thirty-third report of the european scrutiny committee, session 2005-06, hc34-xxxiii, paragraph 16. thirty-sixth report of the european scrutiny committee, session 2005-06, hc34-xxxvi, paragraphs 11, 18 and 19. thirty-seventh report of the european scrutiny committee, session 2005-06, hc34-xxxvii, paragraph 49.] that this house takes note of european union document no. 9390/06, commission communication: a citizens' agenda—delivering results for europe: and supports the government's view that it welcomes the principles behind 'a citizens' agenda' and the commission's commitment to taking forward the hampton court agenda of delivering concrete results and benefits to eu citizens.",1,1,1,3.0788808084552377,2006-10-26,0.4090909090909091,important,Lab,important
31,European Union - For,1065,76,Andy Burnham,13,True,european communities (finance) bill that the bill be now read a second time.,0,1,1,1.1195749114345768,2007-11-19,0.4545454545454545,important,Lab,important
32,European Union - For,1065,272,Damian Green,45,True,"common european asylum system to leave out from ""seekers"" to the end of the question, and to add instead thereof: 'but recognises that asylum policy, as an essential component in the control of the uk's borders, should remain under the control of the british government.'.",0,1,0,,2007-11-29,0.4545454545454545,important,Con,important
33,European Union - For,1065,356,Liz Blackman,51,True,"european community documents – funding of political parties that this house takes note of european document no. 1159/07, draft regulation amending regulation (ec) no. 2004/2003 on the regulations governing political parties at european level and the rules regarding their funding; and agrees that the government should support its adoption. —[liz blackman.",1,1,0,-0.9555404406004258,2007-12-12,0.4545454545454545,important,Lab,important
34,European Union - For,1065,245,David Miliband,39,True,"european union (amendment) bill [relevant document: the third report from the foreign affairs committee, session 2007-08, on foreign policy aspects of the lisbon treaty (house of commons paper no. 120-i).] that the bill be now read a second time",1,1,1,-1.6064463202575725,2008-01-21,0.5,important,Lab,important
35,European Union - For,1065,5660,William Hague,806,True,"business of the house (lisbon treaty) in line 24, leave out from 'table' to end and add— allotted day proceedings latest time for conclusio 1 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the following matters: asylum and migration policy.' 3 hours after commencement (b) committee on the bill: any selected amendments to clause 1 and the question, that clause 1 stand part of the bill; any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencemen 2 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the following matters: fighting cross-border crime; justice; policing and human trafficking.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencemen 3 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning energy.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to energy. 3 hours after commencemen 4 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the economy, social security and public services.' 3 hours after commenceme (b) committee on the bill—any selected amendments to clause 2 relating to the economy, social security and public services. 3 hours after commencemen 5 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning human rights and the charter of fundamental rights.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to human rights and the charter of fundamental rights. 3 hours after commencemen 6 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the single market.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to the single market. 3 hours after commencemen 7 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning foreign policy.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to foreign policy. 3 hours after commencemen 8 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning security and defence policy.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to security and defence policy. 3 hours after commencemen 9 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning international development.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to international development. 3 hours after commencemen 10 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the effectiveness of the eu institutions and eu decision-making.' 3 hours after commencemen (b) committee on the bill—any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencemen 11 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the role and legal status of the eu institutions, including legal personality.' 3 hours after commencement (b) committee on the bill—any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencemen 12 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the distribution of competencies between the eu institutions and member states.' 3 hours after commencement (b) committee on the bill—any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencemen 13 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning national parliaments.' 3 hours after commencement (b) committee on the bill—any selected amendments to clause 2 relating to the matters specified in paragraph (a). 3 hours after commencement 14 (a) motion—'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning climate change.' 3 hours after commencement (b) committee on the bill—any selected amendments to clause 2 relating to climate change, remaining amendments to clause 2 and the question, that clause 2 stand part of the bill. 3 hours after commencement 15 committee on the bill—clauses 3 to 7. 16 committee on the bill—clauses 3 to 7, so far as not completed on allotted day 15. the moment of interruption. 17 committee on the bill—clause 8, the schedule new clauses and new schedules. the moment of interruption. 18 remaining proceedings on the bill. 6 hours after commencement.'",0,1,1,0.2034636358672231,2008-01-28,0.5,not_important,Con,not_important
36,European Union - For,1065,4910,Jim Murphy,763,True,"business of the house (lisbon treaty) that the following provisions shall have effect. (1) in this order, 'allotted day' means a day on which the first business is— (a) a motion in the name of a minister of the crown to approve the government's policy towards the treaty of lisbon in respect of specified matters, (b) proceedings on the european union (amendment) bill, or (c) a motion to vary or supplement this order. (2) on an allotted day proceedings shall be taken in accordance with the table. (3) standing orders nos. 83d and 83e (programme orders: conclusion of proceedings) and 83i (programme orders: supplementary provisions) shall apply to proceedings to which this order applies as if they were subject to a programme order. (4) on an allotted day no debate under s.o. no. 24 (emergency debates) may take place until after the conclusion of proceedings specified in the table. (5) the rule of the house against anticipation shall not apply to proceedings specified in the table. (6) if a minister of the crown moves a motion to vary or supplement this order (including, in particular, so as to make provision about lords messages)— (a) if the amendment does not reduce the amount of time allotted overall to consideration of matters connected with the treaty of lisbon, the question shall be put forthwith, and(b) otherwise, proceedings on the motion shall be brought to a conclusion not later than three-quarters of an hour after commencement. allotted day proceedings latest time for conclusion 1 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the following matters: fighting cross-border crime; justice; policing; human trafficking; and asylum and migration policy.' 41/2; hours after commencement (b) committee on the bill: any selected amendments to clause 1 and the question, that clause 1 stand part of the bill; any selected amendments to clause 2 relating to the matters specified in paragraph (a). 1 1/2; hours after commencement 2 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning energy.' 4 1/2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to energy. 1 1/2; hours after commencement 3 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning human rights.' 4 1/2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to human rights. 1 1/2; hours after commencement 4 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the single market.' 4 1 2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to the single market. 1&frac12; hours after commencement 5 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning foreign, security and defence policy.' 4 1/2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to foreign, security and defence policy. 1 1/2; hours after commencement 6 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning international development.' 4&frac12; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to international development. 1 1/2; hours after commencement 7 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the effectiveness of the eu institutions and eu decision-making.' 4 2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to the matters specified in paragraph (a). 1 1/2; hours after commencement 8 (a) motion — 'that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning climate change.' 4 1/2; hours after commencement (b) committee on the bill — any selected amendments to clause 2 relating to climate change, remaining amendments on clause 2 and the question, that clause 2 stand part of the bill. 1&frac12; hours after commencement 9 committee on the bill — clauses 3 to 7. 10 committee on the bill — clauses 3 to 7, so far as not completed on allotted day 9. 11 committee on the bill — clauses 8, the schedule, new clauses and new schedules. the moment of interruption 12 remaining proceedings on the bill. 6 hours after commencement",0,1,1,-0.7563507452843033,2008-01-28,0.5,not_important,Lab,not_important
37,European Union - For,1065,1452,Dominic Grieve,231,True,"lisbon treaty (no.1) — (1st allotted day) [relevant documents: the third report from the home affairs committee, session 2006-07, on justice and home affairs issues at european union level, hc 76, and the government's response, first special report of session 2006-07, hc 1 021 .] amendment (a), to leave out from ""house"" to end, and to add instead thereof: ""disapproves of the government's policy towards the treaty of lisbon in respect of provisions concerning fighting cross-border crime, justice, policing, human trafficking and asylum and migration policy because the treaty weakens the uk's ability to determine its own policy in these important fields, would bring to an end the intergovernmental nature of eu co-operation over policing and criminal justice, abolishes the safeguard of the national veto in almost all remaining areas in justice and home affairs matters and creates the possibility that the uk could be fined for refusing to participate in certain legislation in these areas; and notes that the european scrutiny committee, in its third report of session 2007-08, hc 16-iii, paragraph 75, is ""concerned that the interpretation of the red line to ""protect uk civil and criminal justice"" as only requiring control of the decision to opt in or not does not recognise the loss of protection that will occur every time jurisdiction is transferred from uk courts to jurisdiction by the european court of justice and the commission."".'.",1,1,1,,2008-01-29,0.5,important,Con,important
38,European Union - For,1065,277,Mark Francois,44,True,"addition to list of treaties amendment no. 214, page 1, line 12, after 'excluding', insert— '(i) article 1, paragraph 51, replacement article 35 teu, relating to jurisdiction of the european court of justice over police and judicial cooperation in criminal matters; and (ii) '.",0,1,0,-0.6465728842425266,2008-01-29,0.5,not_important,Con,not_important
39,European Union - For,1065,222,Mark Francois,37,True,"addition to list of treaties no. 8, in clause 2, page 1, line 12, after 'excluding', insert— '(i) article 2, paragraph 67, inserted article 69a, tec (tfeu), relating to judicial cooperation in criminal matters; and (ii) '.",0,0,0,-1.081548003614395,2008-01-29,0.5,not_important,Con,not_important
40,European Union - For,1065,627,Alan Duncan,99,True,"treaty of lisbon (no. 2) to leave out from ""house"" to end and to add instead thereof: ""notes that the government demanded the deletion of a new article on energy when it was first proposed as part of the eu constitution; further notes that the government's explanation was that 'this provision is unnecessary as all aspects of energy policy are effectively covered elsewhere in the treaty e.g. single market, environment'; believes that the government's position then was right and remains valid; and accordingly rejects the government's current policy towards the treaty of lisbon in respect of provisions concerning energy.""",0,0,1,,2008-01-30,0.5,important,Con,important
41,European Union - For,1065,146,John Hutton,23,True,treaty of lisbon (no. 2) that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning energy.,0,0,1,0.8816397569494505,2008-01-30,0.5,not_important,Lab,not_important
42,European Union - For,1065,238,Mark Francois,40,True,"addition to list of treaties amendment no. 204, page 1, line 12, after 'excluding', insert— '(i) article 2, paragraph 12, inserted article 2c tec (tfeu), paragraph 2(i), providing for energy to be an area of shared competence; and (ii) '.",0,0,0,,2008-01-30,0.5,not_important,Con,not_important
43,European Union - For,1065,827,David Lidington,138,True,"treaty of lisbon (no. 3) to leave out from ""house"" to end and add instead thereof: ""disapproves of the government's policy towards the treaty of lisbon in respect of human rights because of its incoherence and inconsistency on the status of the charter of fundamental rights in the united kingdom; notes that after the intergovernmental conference was agreed the previous prime minister told the house that ""it is absolutely clear that we have an opt-out from both the charter and judicial and home affairs""; notes that the minister for europe told the house when debating the treaty of lisbon that ""the fact is that the united kingdom has neither sought nor achieved an opt-out on the charter of fundamental rights""; and calls on the government to adopt a clear and consistent policy whose merits parliament may then judge.""",0,1,1,1.479944138890026,2008-02-05,0.5,important,Con,important
44,European Union - For,1065,152,Jack Straw,24,True,treaty of lisbon (no. 3) that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning human rights.,0,0,1,0.0773683076476183,2008-02-05,0.5,not_important,Lab,not_important
45,European Union - For,1065,202,Bill Cash,33,True,"addition to list of treaties amendment no. 84, page 1, line 12, after 'excluding', insert— '(i) article 1, paragraph 8, replacement article 6 teu relating to rights, freedoms and principles; and (ii) '.",0,0,0,-0.8612842013282637,2008-02-05,0.5,not_important,Con,not_important
46,European Union - For,1065,798,Philip Hammond,127,True,"treaty of lisbon (no. 4) to leave out from ""house"" to end and to insert instead thereof: ""disapproves of the government's policy towards the treaty of lisbon in respect of provisions concerning the single market; notes that the treaty proper now contains no reference to undistorted competition as one of the activities of the european union, and indeed relegates to a protocol any mention of competition that is not distorted, with significant implications for the interpretation of european union law; deplores the government's failure to block this change during the negotiations; and is concerned that the result could be the revival of protectionism in the european union wholly contrary to government policy and damaging to the interest both of the united kingdom and of the european union."".",0,1,1,1.5231240772696573,2008-02-06,0.5,important,Con,important
47,European Union - For,1065,157,John Hutton,25,True,treaty of lisbon (no. 4) that this house approves the government's policy towards the treaty of lisbon in respect of provisions concerning the single market.,0,0,1,0.5389100436846587,2008-02-06,0.5,not_important,Lab,not_important
48,European Union - For,1065,345,Mark Francois,55,True,"addition to list of treaties amendment no. 237, page 1, line 12, after 'excluding', insert—'(i) article 2, paragraph 12, inserted article 2b tec (tfeu), paragraph 1(b) providing for the establishing of competition rules necessary for the functioning of the internal market to be an area of exclusive competence of the european union; and (ii) '.",0,1,0,-1.0372461543264564,2008-02-06,0.5,not_important,Con,not_important
