motion_id,motion_topic,policy_id,motion_text_length,speaker,num_tokens,has_entity,motion_text,has_entity_date,has_entity_person,has_entity_event_or_org,aux_numeric_feature,date,date_continuous,motion_priority,party
10,Asylum System - More strict,1087,1221,Jim Murphy,192,True,"Asylum and Immigration (Treatment of Claimants, etc.) Bill (Programme)
That the following provisions shall apply to the Asylum and Immigration (Treatment of Claimants, etc.) Bill: Committal 1. The Bill shall be committed to a Standing Committee. Proceedings in Standing Committee 2. Proceedings in the Standing Committee shall (so far as not previously concluded) be brought to a conclusion on 27th January 2004. 3. The Standing Committee shall have leave to sit twice on the first day on which it meets. Consideration and Third Reading 4. Proceedings on consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced. 5. Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day. Programming Committee 6. Sessional Order B (programming committees) made on 28th June 2001 shall not apply to proceedings on consideration and Third Reading. Programming of proceedings 7. All proceedings on the Bill (including any proceedings on consideration of Lords Amendments or on any further messages from the Lords) may be programmed.",True,True,True,,2003-12-17,0.2727272727272727,,Lab
11,Asylum System - More strict,1087,520,David Heath ,89,True,"Asylum and Immigration (Treatment of Claimants, Etc.) Bill – Entering United Kingdom without passport
No. 99, in page 2, line 30, at end insert— '(4A) Where a person is charged with an offence under subsections (1) and (2) above, and relies on a defence under subsections (3) and (4) above, if the person adduces evidence which is sufficient to raise an issue with respect to the matter, the court or jury shall assume that the defence is satisfied unless the prosecution proves beyond reasonable doubt that it is not.'.",False,True,True,-1.1978778925888485,2004-03-01,0.3181818181818182,,LD
12,Asylum System - More strict,1087,162,Hilton Dawson,27,True,"Asylum and Immigration (Treatment of Claimants, Etc.) Bill – Failed asylum seekers: withdrawal of support
amendment No. 23, in page 8, line 5, leave out clause 7.",False,False,True,1.9647251329163893,2004-03-01,0.3181818181818182,,Lab
13,Asylum System - More strict,1087,148,Mark Oaten,25,True,"Asylum and Immigration (Treatment of Claimants, Etc.) Bill – Unification of appeal system
amendment No. 30, in page 11, line 6, leave out Clause 11.",False,False,True,0.03526355197172861,2004-03-01,0.3181818181818182,,LD
14,Asylum System - More strict,1087,145,Neil Gerrard,24,True,"Asylum and Immigration (Treatment of Claimants, Etc.) Bill – Repeals
No. 33, in page 41, line 24, second column, at beginning insert 'Section 55.",False,True,True,-0.6997255079925856,2004-03-01,0.3181818181818182,,Lab
15,Asylum System - More strict,1087,1696,David Blunkett,293,True,"Asylum and Immigration (Treatment of Claimants, Etc.) Bill – Appeal from within United Kingdom
For section 92(3) of the Nationality, Immigration and Asylum Act 2002 (c. 41) (appeal from within United Kingdom: person with entry clearance or work permit) substitute— ""(3) This section also applies to an appeal against refusal of leave to enter the United Kingdom if— (a) at the time of the refusal the appellant is in the United Kingdom, and (b) on his arrival in the United Kingdom the appellant had entry clearance. (3A) But this section does not apply by virtue of subsection (3) if subsection (3B) or (3C) applies to the refusal of leave to enter. (3B) This subsection applies to a refusal of leave to enter which is a deemed refusal under paragraph 2A(9) of Schedule 2 to the Immigration Act 1971 resulting from cancellation of leave to enter by an immigration officer— (a) under paragraph 2A(8) of that Schedule, and (b) on the grounds specified in paragraph 2A(2A) of that Schedule. (3C) This subsection applies to a refusal of leave to enter which specifies that the grounds for refusal are that the leave is sought for a purpose other than that specified in the entry clearance. (3D) This section also applies to an appeal against refusal of leave to enter the United Kingdom if at the time of the refusal the appellant— (a) is in the United Kingdom, (b) has a work permit, and (c) is any of the following (within the meaning of the British Nationality Act 1981 (c. 61))— (i) a British overseas territories citizen, (ii) a British Overseas citizen, (iii) a British National (Overseas), (iv) a British protected person, or (v) a British subject.""'
That the Bill be now read the Third time.",True,True,True,0.213979910734222,2004-03-01,0.3181818181818182,,Lab
16,Asylum System - More strict,1087,1148,Parmjit Dhanda,181,True,"Immigration, Asylum and Nationality Bill (Programme)
That the following provisions shall apply to the Immigration, Asylum and Nationality Bill: Committal 1. The Bill shall be committed to a Standing Committee. Proceedings in Standing Committee 2. Proceedings in the Standing Committee shall (so far as not previously concluded) be brought to a conclusion on Tuesday 25th October 2005. 3. The Standing Committee shall have leave to sit twice on the first day on which it meets. Consideration and Third Reading 4. Proceedings on consideration shall (so far as not previously concluded) be brought to a conclusion one hour before the moment of interruption on the day on which those proceedings are commenced. 5. Proceedings on Third Reading shall (so far as not previously concluded) be brought to a conclusion at the moment of interruption on that day. 6. Standing Order No. 83B (Programming committees) shall not apply to proceedings on consideration and Third Reading. Other proceedings 7. Any other proceedings on the Bill (including any proceedings on consideration of Lords Amendments or on any further message from the Lords) may be programmed",True,True,True,-0.11232804969082982,2005-07-05,0.3636363636363636,,Lab
17,Asylum System - More strict,1087,152,Humfrey Malins,27,True,"Immigration, Asylum and Nationality Bill – Penalty
amendment No. 8, in page 6, line 28, after 'employ', insert 'for more than 15 hours in any one week'.",False,True,True,-0.22096959953322298,2005-11-16,0.3636363636363636,,Con
18,Asylum System - More strict,1087,134,Alistair Carmichael,21,True,"Immigration, Asylum and Nationality Bill – Refugee Convention: Construction
amendment No. 34, in page 28, line 1, leave out Clause 51.",False,True,True,0.6141667000434252,2005-11-16,0.3636363636363636,,LD
19,Asylum System - More strict,1087,296,Tony McNulty,48,True,"Immigration, Asylum and Nationality Bill – Immigration and Asylum Appeals: Consequential Amendments
Amendment made: No. 29, in page 32, line 34, at end insert—'13A In section 104(5) (pending appeal) for ""(d), (e) or (f)"" substitute ""(f), (fa) or (fb)"".'.
That the Bill be now read the Third time.",False,True,True,0.7575077100473051,2005-11-16,0.3636363636363636,,Lab
20,Asylum System - More strict,1087,749,Tom Watson,118,True,"Immigration, Asylum and Nationality Bill (Programme) (No. 3)
That the following provisions shall apply to the Immigration, Asylum and Nationality Bill for the purpose of supplementing the Order of 5th July 2005 (as varied by the Order of 11th October 2005): Consideration of Lords Amendments 1. Proceedings on consideration of Lords Amendments shall (so far as not previously concluded) be brought to a conclusion two hours after their commencement at this day's sitting. Subsequent stages 2. Any further Message from the Lords may be considered forthwith without any Question being put. 3. The proceedings on any further Message from the Lords shall (so far as not previously concluded) be brought to a conclusion one hour after their commencement.",True,True,True,-0.5305011476105275,2006-03-29,0.4090909090909091,,Lab
21,Asylum System - More strict,1087,119,Neil Gerrard,17,True,"Immigration, Asylum and Nationality Bill – Accommodation
Lords amendment: No. 18.
amendment (a) to the Lords amendment.",False,True,True,,2006-03-29,0.4090909090909091,,Lab
22,Asylum System - More strict,1087,124,,20,True,"Immigration
That the draft Asylum (Designated States) Order 2007, which was laid before this House on 22nd May, be approved.",True,True,False,-0.275051697151644,2007-07-25,0.4545454545454545,,
23,Asylum System - More strict,1087,1243,Angus Robertson,188,True,"Humanitarian Crisis in the Mediterranean and Europe
[Relevant document: E-petition, entitled Accept more asylum seekers and increase support for refugee migrants in the UK, https://petition.parliament.uk/petitions/105991]
That this House recognises the funding the Government has committed to the humanitarian initiatives to provide sanctuary in camps for refugees across the Middle East; calls for a greater international effort through the United Nations to secure the position of such displaced people; recognises that the Government has committed to accepting 20,000 vulnerable people from camps in Syria over the next five years but calls for a Government report to be laid before the House by 12 October 2015 detailing how that number can be increased, encompassing refugees already in Europe and including a plan for the remainder of this year to reflect the overwhelming urgency of this humanitarian crisis; further notes that refugees arriving in European Union territory also have a moral and legal right to be treated properly; and, given the pressure on Southern European countries, further calls for the UK to play its full and proper role, in conjunction with European partners, in providing sanctuary to our fellow human beings.",True,True,False,-2.301921164735585,2015-09-09,0.8181818181818182,,SNP
24,Asylum System - More strict,1087,72,Theresa May,15,True,"Immigration Bill
I beg to move, That the Bill be now read a Second time.",False,True,True,-1.5151910621985523,2015-10-13,0.8181818181818182,,Con
25,Asylum System - More strict,1087,166,Keir Starmer,28,True,"Consumer Protection (Standards of Fire Resistance of Children’s Fancy Dress and Play Costumes Etc) – Offence of illegal working
19, page 5, line 2, leave out Clause 8",False,True,False,1.3668742674445247,2015-12-01,0.8181818181818182,,Lab
26,Asylum System - More strict,1087,1642,Keir Starmer,258,True,"Consumer Protection (Standards of Fire Resistance of Children’s Fancy Dress and Play Costumes Etc) – Extension to Wales, Scotland and Northern Ireland
‘(1) The Secretary of State may by regulations make such provision as the Secretary of State considers appropriate for enabling any of the provisions of sections (Transfer of responsibility for relevant children) to (Scheme for transfer of responsibility for relevant children) to apply in relation to Wales, Scotland or Northern Ireland. (2) The Secretary of State may by regulations make provision which— (a) has a similar effect to any of the provisions mentioned in subsection (1), and (b) applies in relation to Wales, Scotland or Northern Ireland. (3) Regulations under subsection (1) or (2) may— (a) amend, repeal or revoke any enactment (including an enactment contained in this Act); (b) confer functions on any person (including a power to make regulations). (4) Regulations under subsection (1) or (2) may not confer functions on— (a) the Welsh Ministers, (b) the Scottish Ministers, (c) the First Minister and deputy First Minister in Northern Ireland, (d) a Northern Ireland Minister, or (e) a Northern Ireland department. (5) In this section “enactment” includes— (a) an enactment contained in subordinate legislation within the meaning of the Interpretation Act 1978; (b) an enactment contained in, or in an instrument made under, an Act or Measure of the National Assembly for Wales; (c) an enactment contained in, or in an instrument made under, an Act of the Scottish Parliament; (d) an enactment contained in, or in an instrument made under, Northern Ireland legislation.”",True,True,True,1.6449677135012837,2015-12-01,0.8181818181818182,,Lab
27,Asylum System - More strict,1087,233,Stuart McDonald,36,True,"Consumer Protection (Standards of Fire Resistance of Children’s Fancy Dress and Play Costumes Etc) – Appeals within the United Kingdom: certification of human rights claims
Amendment proposed: 27, page 39, line 6, leave out clause 34",False,True,False,-0.24903603955637832,2015-12-01,0.8181818181818182,,SNP
28,Asylum System - More strict,1087,1075,James Brokenshire,156,True,"European Union (Approvals) Bill [Lords] – Relocation of Migrants in need of International Protection (Opt-in Decision)
[Relevant documents:2nd Report from the European Scrutiny Committee, Session 2015-16, HC 342-ii, Chapter 3; 3rd Report from the European Scrutiny Committee, Session 2015-16, HC 342-iii, Chapter 8; 5th Report from the European Scrutiny Committee, Session 2015-16, HC 342-v, Chapters 1, 2, and 3; and 9th Report from the European Scrutiny Committee, Session 2015-16, HC 342-ix, Chapter 3.]
That this House takes note of European Union Documents No. 9355/15 and Addendum and No. 11132/15, international protection for the benefit of Italy and Greece, No. 11843/15 and Addendum, establishing a crisis relocation mechanism, and No. 11844/15 and Addendum, international protection for the benefit of Italy, Greece and Hungary; and agrees with the Government’s decision not to opt in to proposals establishing provisional measures for the relocation of individuals in need of international protection or to the proposal establishing a crisis relocation mechanism.",True,True,True,0.5765569630557664,2015-12-14,0.8181818181818182,,Con
29,Asylum System - More strict,1087,152,James Brokenshire,24,True,"Immigration Bill – Asylum seekers: permission to work after six months
Motion made, and Question put, That this House disagrees with Lords amendment 59.",False,True,True,,2016-04-25,0.8636363636363636,,Con
30,European Union - For,1065,1036,Geoff Hoon,138,True,"A Citizens' Agenda
[Relevant documents: Twenty-second Report of the European Scrutiny Committee, Session 2005-06, HC34-xxii, paragraph 1. Thirty-first Report of the European Scrutiny Committee, Session 2005-06, HC34- xxxi, paragraphs 1 and 30. Thirty-second Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxii, paragraphs 4 and 5. Thirty-third Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxiii, paragraph 16. Thirty-sixth Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxvi, paragraphs 11, 18 and 19. Thirty-seventh Report of the European Scrutiny Committee, Session 2005-06, HC34-xxxvii, paragraph 49.]
That this House takes note of European Union Document No. 9390/06, Commission Communication: A Citizens' Agenda—Delivering Results for Europe: and supports the Government's view that it welcomes the principles behind 'A Citizens' Agenda' and the Commission's commitment to taking forward the Hampton Court agenda of delivering concrete results and benefits to EU citizens.",True,True,True,3.0788808084552377,2006-10-26,0.4090909090909091,,Lab
31,European Union - For,1065,76,Andy Burnham,13,True,"European Communities (Finance) Bill
That the Bill be now read a Second time.",False,True,True,1.1195749114345768,2007-11-19,0.4545454545454545,,Lab
32,European Union - For,1065,272,Damian Green,45,True,"Common European Asylum System
To leave out from ""seekers"" to the end of the Question, and to add instead thereof: 'but recognises that asylum policy, as an essential component in the control of the UK's borders, should remain under the control of the British Government.'.",False,True,False,,2007-11-29,0.4545454545454545,,Con
33,European Union - For,1065,356,Liz Blackman,51,True,"European Community Documents – Funding of political parties
That this House takes note of European Document No. 1159/07, Draft Regulation amending Regulation (EC) No. 2004/2003 on the regulations governing political parties at European level and the rules regarding their funding; and agrees that the Government should support its adoption. —[Liz Blackman.",True,True,False,-0.9555404406004258,2007-12-12,0.4545454545454545,,Lab
34,European Union - For,1065,245,David Miliband,39,True,"European Union (Amendment) Bill
[Relevant document: The Third Report from the Foreign Affairs Committee, Session 2007-08, on Foreign Policy Aspects of the Lisbon Treaty (House of Commons Paper No. 120-I).]
That the Bill be now read a Second Time",True,True,True,-1.6064463202575725,2008-01-21,0.5,,Lab
35,European Union - For,1065,5660,William Hague,806,True,"Business of the House (Lisbon Treaty)
in line 24, leave out from 'TABLE' to end and add— Allotted Day        Proceedings        Latest time for conclusio 1        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the following matters: asylum and migration policy.'        3 hours after commencement (B) Committee on the Bill: any selected amendments to Clause 1 and the Question, That Clause 1 stand part of the Bill; any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencemen 2        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the following matters: fighting cross-border crime; justice; policing and human trafficking.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencemen 3        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning energy.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to energy.        3 hours after commencemen 4        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the economy, social security and public services.'        3 hours after commenceme (B) Committee on the Bill—any selected amendments to Clause 2 relating to the economy, social security and public services.        3 hours after commencemen 5        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning human rights and the Charter of Fundamental Rights.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to human rights and the Charter of Fundamental Rights.        3 hours after commencemen 6        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the single market.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to the single market.        3 hours after commencemen 7        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning foreign policy.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to foreign policy.        3 hours after commencemen 8        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning security and defence policy.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to security and defence policy.        3 hours after commencemen 9        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning international development.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to international development.        3 hours after commencemen 10        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the effectiveness of the EU institutions and EU decision-making.'        3 hours after commencemen (B) Committee on the Bill—any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencemen 11        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the role and legal status of the EU institutions, including legal personality.'        3 hours after commencement (B) Committee on the Bill—any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencemen 12        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the distribution of competencies between the EU institutions and Member States.'        3 hours after commencement (B) Committee on the Bill—any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencemen 13        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning national parliaments.'        3 hours after commencement (B) Committee on the Bill—any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        3 hours after commencement 14        (A) Motion—'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning climate change.'        3 hours after commencement (B) Committee on the Bill—any selected amendments to Clause 2 relating to climate change, remaining amendments to Clause 2 and the Question, That Clause 2 stand part of the Bill.        3 hours after commencement 15        Committee on the Bill—Clauses 3 to 7.         16        Committee on the Bill—Clauses 3 to 7, so far as not completed on Allotted Day 15.        The moment of interruption. 17        Committee on the Bill—Clause 8, the Schedule New Clauses and New Schedules.        The moment of interruption. 18        Remaining proceedings on the Bill.        6 hours after commencement.'",False,True,True,0.2034636358672231,2008-01-28,0.5,,Con
36,European Union - For,1065,4910,Jim Murphy,763,True,"Business of the House (Lisbon Treaty)
That the following provisions shall have effect. (1) In this Order, 'allotted day' means a day on which the first business is— (a) a motion in the name of a Minister of the Crown to approve the Government's policy towards the Treaty of Lisbon in respect of specified matters, (b) proceedings on the European Union (Amendment) Bill, or (c) a motion to vary or supplement this Order. (2) On an allotted day proceedings shall be taken in accordance with the Table. (3) Standing Orders Nos. 83D and 83E (Programme orders: conclusion of proceedings) and 83I (Programme orders: supplementary provisions) shall apply to proceedings to which this Order applies as if they were subject to a programme order. (4) On an allotted day no debate under S.O. No. 24 (emergency debates) may take place until after the conclusion of proceedings specified in the Table. (5) The rule of the House against anticipation shall not apply to proceedings specified in the Table. (6) If a Minister of the Crown moves a motion to vary or supplement this Order (including, in particular, so as to make provision about Lords Messages)— (a) if the amendment does not reduce the amount of time allotted overall to consideration of matters connected with the Treaty of Lisbon, the Question shall be put forthwith, and(b) otherwise, proceedings on the motion shall be brought to a conclusion not later than three-quarters of an hour after commencement. Allotted Day        Proceedings        Latest time for conclusion 1        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the following matters: fighting cross-border crime; justice; policing; human trafficking; and asylum and migration policy.' 41/2; hours after commencement (B) Committee on the Bill: any selected amendments to Clause 1 and the Question, That Clause 1 stand part of the Bill; any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        1 1/2; hours after commencement 2        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning energy.'        4 1/2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to energy.        1 1/2; hours after commencement 3        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning human rights.'        4 1/2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to human rights.        1 1/2; hours after commencement 4        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the single market.'        4 1 2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to the single market.        1&frac12; hours after commencement 5        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning foreign, security and defence policy.'        4 1/2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to foreign, security and defence policy.        1 1/2; hours after commencement 6        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning international development.'        4&frac12; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to international development.        1 1/2; hours after commencement 7        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning the effectiveness of the EU institutions and EU decision-making.'        4 2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to the matters specified in paragraph (A).        1 1/2; hours after commencement 8        (A) Motion — 'That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning climate change.'        4 1/2; hours after commencement (B) Committee on the Bill — any selected amendments to Clause 2 relating to climate change, remaining amendments on Clause 2 and the Question, That Clause 2 stand part of the Bill.        1&frac12; hours after commencement 9        Committee on the Bill — Clauses 3 to 7.         10        Committee on the Bill — Clauses 3 to 7, so far as not completed on Allotted Day 9.         11        Committee on the Bill — Clauses 8, the Schedule, New Clauses and New Schedules.        The moment of interruption 12        Remaining proceedings on the Bill.        6 hours after commencement",False,True,True,-0.7563507452843033,2008-01-28,0.5,,Lab
37,European Union - For,1065,1452,Dominic Grieve,231,True,"Lisbon Treaty (No.1) — (1st Allotted Day)
[Relevant documents: The Third Report from the Home Affairs Committee, Session 2006-07, on Justice and Home Affairs Issues at European Union Level, HC 76, and the Government's response, First Special Report of Session 2006-07, HC 1 021 .]
amendment (a), to leave out from ""House"" to end, and to add instead thereof: ""disapproves of the Government's policy towards the Treaty of Lisbon in respect of provisions concerning fighting cross-border crime, justice, policing, human trafficking and asylum and migration policy because the Treaty weakens the UK's ability to determine its own policy in these important fields, would bring to an end the intergovernmental nature of EU co-operation over policing and criminal justice, abolishes the safeguard of the national veto in almost all remaining areas in justice and home affairs matters and creates the possibility that the UK could be fined for refusing to participate in certain legislation in these areas; and notes that the European Scrutiny Committee, in its Third Report of Session 2007-08, HC 16-iii, paragraph 75, is ""concerned that the interpretation of the red line to ""protect UK civil and criminal justice"" as only requiring control of the decision to opt in or not does not recognise the loss of protection that will occur every time jurisdiction is transferred from UK courts to jurisdiction by the European Court of Justice and the Commission."".'.",True,True,True,,2008-01-29,0.5,,Con
38,European Union - For,1065,277,Mark Francois,44,True,"Addition to list of treaties
amendment No. 214, page 1, line 12, after 'excluding', insert— '(i) Article 1, paragraph 51, replacement Article 35 TEU, relating to jurisdiction of the European Court of Justice over police and judicial cooperation in criminal matters; and (ii) '.",False,True,False,-0.6465728842425266,2008-01-29,0.5,,Con
39,European Union - For,1065,222,Mark Francois,37,True,"Addition to list of treaties
No. 8, in clause 2, page 1, line 12, after 'excluding', insert— '(i) Article 2, paragraph 67, inserted Article 69A, TEC (TFEU), relating to judicial cooperation in criminal matters; and (ii) '.",False,False,False,-1.081548003614395,2008-01-29,0.5,,Con
40,European Union - For,1065,627,Alan Duncan,99,True,"Treaty of Lisbon (No. 2)
to leave out from ""House"" to end and to add instead thereof: ""notes that the Government demanded the deletion of a new article on energy when it was first proposed as part of the EU Constitution;  further notes that the Government's explanation was that 'this provision is unnecessary as all aspects of energy policy are effectively covered elsewhere in the Treaty e.g. single market, environment'; believes that the Government's position then was right and remains valid; and accordingly rejects the Government's current policy towards the Treaty of Lisbon in respect of provisions concerning energy.""",False,False,True,,2008-01-30,0.5,,Con
41,European Union - For,1065,146,John Hutton,23,True,"Treaty of Lisbon (No. 2)
That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning energy.",False,False,True,0.8816397569494505,2008-01-30,0.5,,Lab
42,European Union - For,1065,238,Mark Francois,40,True,"Addition to list of treaties
amendment No. 204, page 1, line 12, after 'excluding', insert— '(i) Article 2, paragraph 12, inserted Article 2C TEC (TFEU), paragraph 2(i), providing for energy to be an area of shared competence; and (ii) '.",False,False,False,,2008-01-30,0.5,,Con
43,European Union - For,1065,827,David Lidington,138,True,"Treaty of Lisbon (No. 3)
to leave out from ""House"" to end and add instead thereof: ""disapproves of the Government's policy towards the Treaty of Lisbon in respect of human rights because of its incoherence and inconsistency on the status of the Charter of Fundamental Rights in the United Kingdom;  notes that after the Intergovernmental Conference was agreed the previous Prime Minister told the House that ""it is absolutely clear that we have an opt-out from both the Charter and judicial and home affairs"";  notes that the Minister for Europe told the House when debating the Treaty of Lisbon that ""the fact is that the United Kingdom has neither sought nor achieved an opt-out on the Charter of Fundamental Rights""; and calls on the Government to adopt a clear and consistent policy whose merits Parliament may then judge.""",False,True,True,1.4799441388900259,2008-02-05,0.5,,Con
44,European Union - For,1065,152,Jack Straw,24,True,"Treaty of Lisbon (No. 3)
That this House approves the Government's policy towards the Treaty of Lisbon in respect of provisions concerning human rights.",False,False,True,0.0773683076476183,2008-02-05,0.5,,Lab
45,European Union - For,1065,202,Bill Cash,33,True,"Addition to list of treaties
amendment No. 84, page 1, line 12, after 'excluding', insert— '(i) Article 1, paragraph 8, replacement Article 6 TEU relating to rights, freedoms and principles; and (ii) '.",False,False,False,-0.8612842013282637,2008-02-05,0.5,,Con
